dataset,MAE,RMSE,R²,R,Accuracy
ViT-B/16 Feature (Best Model),0.6907774499825784,0.9043619645612921,0.79553235926371,0.89643323660154,0.4738675958188153
Pre-Calibration,1.864,2.364741000617192,-0.3672371638141809,0.28915807786060166,0.178
Post-Calibration,1.588,2.1203773249117717,0.04136460554371002,0.4814956893838946,0.236
