Strategy,Val MAE,Test MAE,Test RMSE
Late Fusion,,0.18134766817092896,0.22809623181819916
Feature Fusion,,0.20431770384311676,0.2637636959552765
TOP View,,0.20461398363113403,0.27066323161125183
Baseline,,0.3098008632659912,0.44525375962257385
SIDE View,,0.4963899552822113,0.6865598559379578
