Model,MAE,RMSE,Parameters (M),Best Epoch
Baseline (ResNet50),0.4900418569098462,0.6447045559547954,23.510081,24
Late Fusion,0.43018961083758006,0.5393703973637344,47.020162,18
Feature Fusion,0.4653233767865778,0.5694601429334529,49.114241,17
